Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
Chad Ruschman,3.3,9,Chemistry,0.56,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2184051,0.626
Clyde Booker,3.9,28,History,0.0,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/805806,0.6256551724137931
Thomas Capizzi,2.4,3,Fine Arts,1.0,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2899892,0.625
Leslie Combs,4.4,3,Psychology,1.0,4.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1288862,0.625
Ned Jackson,3.3,12,Marketing,0.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/784478,0.6249230769230769
Michael Mannheimer,3.0,8,Law,1.0,3.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/535363,0.6246666666666667
Sandy Grinnell,3.1,8,Nursing,0.34,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1430521,0.6246666666666667
Tripta Desai,2.1,68,History,0.34,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/570982,0.6236521739130434
Melissa Digirolamo,3.8,6,Business Informatics,0.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1769024,0.6231428571428571
Amy Kardos,4.3,6,History,0.0,3.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1173748,0.6231428571428571
Brian Sowers,5.0,2,History,0.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1274161,0.62
Yushi LI,2.5,12,Sociology,0.37,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2118905,0.6199230769230769
Aimee Shandy,2.9,6,Communication,0.5,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1782103,0.619142857142857
Hildegard Baldridge,3.8,51,Biological Sciences,0.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/410294,0.6182307692307691
Dennis Miller,3.2,49,Philosophy,0.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/304087,0.618
Michael Collins,3.0,70,Mathematics,0.4,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/670484,0.6177746478873241
Jan Anderson,3.5,35,Mathematics,0.0,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/699211,0.6156666666666666
